dataset,labels,baseline,n_pairs,mean_diff,ci_low,ci_high,wins,ties,losses,wilcoxon_W,p_wilcoxon,rank_biserial,p_ttest,cohen_dz,p_holm
edgeiiot,fine,fedrs_sfs,5,0.08358779845809612,0.03875478337209635,0.11987289507401329,4,0,1,1.0,0.125,0.8666666666666667,0.02473096730364161,1.5685372787183351,0.875
edgeiiot,fine,scaffold,5,-0.10379193875846693,-0.1326496499830786,-0.081826416645202,0,0,5,0.0,0.0625,-1.0,0.0023577703856908702,-3.070161218003488,0.625
edgeiiot,fine,scaffold_sfs,5,0.09156125538452649,0.04774433716427455,0.1376193453753184,5,0,0,0.0,0.0625,1.0,0.026709967520357984,1.530749521699886,0.625
edgeiiot,fine,statavg,5,0.08815783049924864,0.03977381638989028,0.12661419606974963,4,0,1,1.0,0.125,0.8666666666666667,0.026078781719845505,1.5424301968197356,0.875
edgeiiot,grouped,fedavg,5,0.08909223349027295,0.05281290895422384,0.12842864029254264,5,0,0,0.0,0.0625,1.0,0.013900077779795168,1.8700791318381844,0.625
edgeiiot,grouped,fedlc,5,0.15923533804420759,0.13478585431309484,0.17581916901351752,5,0,0,0.0,0.0625,1.0,0.00020617024242102717,5.7838594984487095,0.625
edgeiiot,grouped,fedlc_sfs,5,0.006701553333275734,-0.015961417985219217,0.029571766635330454,3,0,2,5.0,0.625,0.3333333333333333,0.6327395911463966,0.23099119590221034,1.0
edgeiiot,grouped,fedprox,5,0.05867378444482152,0.030046019861336305,0.09723116593215138,5,0,0,0.0,0.0625,1.0,0.04031697149242681,1.3374060954691165,0.625
edgeiiot,grouped,fedprox_sfs,5,0.007334206053367898,-0.014347869806341684,0.02671578835528603,3,0,2,6.0,0.8125,0.2,0.5654364927718412,0.27982431604540087,1.0
edgeiiot,grouped,fedrs,5,0.08217680572111945,0.04663714996483766,0.12022027923117817,5,0,0,0.0,0.0625,1.0,0.018249015795000073,1.7233097283575323,0.625
edgeiiot,grouped,fedrs_sfs,5,0.005142071453507491,-0.013530472511445324,0.021089778434385486,4,0,1,4.0,0.4375,0.4666666666666667,0.6204018491637107,0.23968825919694445,1.0
edgeiiot,grouped,scaffold,5,-0.003637194134289268,-0.04102997635619139,0.03821881990641522,2,0,3,7.0,1.0,-0.06666666666666667,0.8810291351879266,-0.0713158341027067,1.0
edgeiiot,grouped,scaffold_sfs,5,0.028926552632837655,0.0006597719923480793,0.04848991897514861,4,0,1,1.0,0.125,0.8666666666666667,0.11000500406178267,0.9156596623707857,0.75
edgeiiot,grouped,statavg,5,0.009416857305855064,-0.014977594200868572,0.029647457661575838,3,0,2,5.0,0.625,0.3333333333333333,0.4985503404525729,0.33244309043825504,1.0
